tempC1,tempC2,avg,area,angle,currentTime
33.50,31.50,32.50,1.00,90.00,696226
33.50,31.56,32.53,1.00,90.00,701965
33.25,31.69,32.47,1.00,90.00,707703
33.75,31.75,32.75,1.00,90.00,713442
33.75,31.87,32.81,1.00,90.00,719180
34.00,32.00,33.00,1.00,90.00,724919
34.00,32.06,33.03,1.00,90.00,730657
34.00,32.19,33.09,1.00,90.00,736396
34.00,32.31,33.16,1.00,90.00,742134
34.25,32.38,33.31,1.00,90.00,747872
34.25,32.50,33.38,1.00,90.00,753610
34.25,32.56,33.41,1.00,90.00,759349
34.50,32.69,33.59,1.00,90.00,765087
34.50,32.81,33.66,1.00,90.00,770826
35.00,32.88,33.94,1.00,90.00,776564
34.75,33.00,33.88,1.00,90.00,782303
35.00,33.06,34.03,1.00,90.00,788040
35.00,33.19,34.09,1.00,90.00,793779
35.00,33.31,34.16,1.00,90.00,799517
35.00,33.38,34.19,1.00,90.00,805256
35.25,33.44,34.34,1.00,90.00,810993
35.25,33.56,34.41,1.00,90.00,816732
35.25,33.63,34.44,1.00,90.00,822470
35.50,33.75,34.63,1.00,90.00,828209
35.75,33.88,34.81,1.00,90.00,833947
35.75,33.94,34.84,1.00,90.00,839685
35.75,34.06,34.91,1.00,90.00,845423
36.00,34.13,35.06,1.00,90.00,851162
36.00,34.25,35.13,1.00,90.00,856899
36.25,34.31,35.28,1.00,90.00,862638
36.25,34.44,35.34,1.00,90.00,868376
36.50,34.50,35.50,1.00,90.00,874114
36.50,34.63,35.56,1.00,90.00,879852
36.25,34.69,35.47,1.00,90.00,885591
36.75,34.81,35.78,1.00,90.00,891328
36.75,34.88,35.81,1.00,90.00,897067
36.75,34.94,35.84,1.00,90.00,902805
36.75,35.06,35.91,1.00,90.00,908542
37.00,35.13,36.06,1.00,90.00,914281
37.00,35.25,36.13,1.00,90.00,920019
37.25,35.31,36.28,1.00,90.00,925757
37.00,35.44,36.22,1.00,90.00,931495
37.25,35.50,36.38,1.00,90.00,937233
37.50,35.63,36.56,1.00,90.00,942971
37.50,35.69,36.59,1.00,90.00,948710
37.75,35.75,36.75,1.00,90.00,954447
37.75,35.88,36.81,1.00,90.00,960186
38.00,35.94,36.97,1.00,90.00,965923
38.00,36.06,37.03,1.00,90.00,971662
38.00,36.06,37.03,1.00,90.00,977399
38.25,36.19,37.22,1.00,90.00,983138
38.25,36.31,37.28,1.00,90.00,988875
38.25,36.38,37.31,1.00,90.00,994614
38.25,36.44,37.34,1.00,90.00,1000351
38.50,36.56,37.53,1.00,90.00,1006090
38.50,36.63,37.56,1.00,90.00,1011827
38.75,36.69,37.72,1.00,90.00,1017566
38.75,36.81,37.78,1.00,90.00,1023303
39.00,36.88,37.94,1.00,90.00,1029042
38.75,36.94,37.84,1.00,90.00,1034779
39.25,37.06,38.16,1.00,90.00,1040518
39.25,37.13,38.19,1.00,90.00,1046255
39.25,37.19,38.22,1.00,90.00,1051994
39.50,37.25,38.38,1.00,90.00,1057731
39.50,37.38,38.44,1.00,90.00,1063470
39.50,37.44,38.47,1.00,90.00,1069207
39.50,37.50,38.50,1.00,90.00,1074946
39.75,37.63,38.69,1.00,90.00,1080683
39.75,37.69,38.72,1.00,90.00,1086422
39.75,37.75,38.75,1.00,90.00,1092159
40.00,37.88,38.94,1.00,90.00,1097897
40.00,37.94,38.97,1.00,90.00,1103635
40.25,38.06,39.16,1.00,90.00,1109372
40.50,38.13,39.31,1.00,90.00,1115111
40.25,38.19,39.22,1.00,90.00,1120848
40.25,38.25,39.25,1.00,90.00,1126587
40.50,38.31,39.41,1.00,90.00,1132324
40.50,38.44,39.47,1.00,90.00,1138063
40.50,38.50,39.50,1.00,90.00,1143800
40.75,38.56,39.66,1.00,90.00,1149538
40.75,38.63,39.69,1.00,90.00,1155276
41.00,38.75,39.88,1.00,90.00,1161014
40.75,38.81,39.78,1.00,90.00,1166751
41.25,38.88,40.06,1.00,90.00,1172490
41.25,39.00,40.13,1.00,90.00,1178227
41.25,39.06,40.16,1.00,90.00,1183965
41.50,39.13,40.31,1.00,90.00,1189703
41.50,39.19,40.34,1.00,90.00,1195441
41.25,39.31,40.28,1.00,90.00,1201178
41.50,39.38,40.44,1.00,90.00,1206917
41.75,39.50,40.63,1.00,90.00,1212654
41.75,39.56,40.66,1.00,90.00,1218392
41.75,39.63,40.69,1.00,90.00,1224130
42.00,39.69,40.84,1.00,90.00,1229868
41.75,39.81,40.78,1.00,90.00,1235605
42.00,39.88,40.94,1.00,90.00,1241344
42.25,39.94,41.09,1.00,90.00,1247081
42.00,40.00,41.00,1.00,90.00,1252818
42.25,40.13,41.19,1.00,90.00,1258556
42.25,40.13,41.19,1.00,90.00,1264294
42.50,40.19,41.34,1.00,90.00,1270032
42.50,40.31,41.41,1.00,90.00,1275769
42.75,40.38,41.56,1.00,90.00,1281507
42.50,40.44,41.47,1.00,90.00,1287245
42.75,40.56,41.66,1.00,90.00,1292983
42.75,40.63,41.69,1.00,90.00,1298720
43.00,40.69,41.84,1.00,90.00,1304458
42.75,40.75,41.75,1.00,90.00,1310196
43.00,40.81,41.91,1.00,90.00,1315934
43.25,40.94,42.09,1.00,90.00,1321671
43.00,41.00,42.00,1.00,90.00,1327409
43.25,41.06,42.16,1.00,90.00,1333146
43.25,41.13,42.19,1.00,90.00,1338884
43.25,41.19,42.22,1.00,90.00,1344622
43.50,41.31,42.41,1.00,90.00,1350360
43.50,41.38,42.44,1.00,90.00,1356097
43.50,41.44,42.47,1.00,90.00,1361835
43.50,41.50,42.50,1.00,90.00,1367572
43.75,41.56,42.66,1.00,90.00,1373309
43.50,41.63,42.56,1.00,90.00,1379048
43.75,41.75,42.75,1.00,90.00,1384785
43.75,41.81,42.78,1.00,90.00,1390523
44.00,41.88,42.94,1.00,90.00,1396260
44.00,41.94,42.97,1.00,90.00,1401998
44.00,42.00,43.00,1.00,90.00,1407735
44.00,42.06,43.03,1.00,90.00,1413473
44.25,42.19,43.22,1.00,90.00,1419210
44.00,42.25,43.13,1.00,90.00,1424949
44.25,42.25,43.25,1.00,90.00,1430686
44.25,42.38,43.31,1.00,90.00,1436424
44.25,42.44,43.34,1.00,90.00,1442161
44.50,42.50,43.50,1.00,90.00,1447899
44.50,42.56,43.53,1.00,90.00,1453636
44.50,42.63,43.56,1.00,90.00,1459374
44.50,42.69,43.59,1.00,90.00,1465111
44.75,42.75,43.75,1.00,90.00,1470849
44.75,42.81,43.78,1.00,90.00,1476586
44.75,42.88,43.81,1.00,90.00,1482323
44.75,42.94,43.84,1.00,90.00,1488061
44.75,43.06,43.91,1.00,90.00,1493798
44.75,43.06,43.91,1.00,90.00,1499536
45.00,43.13,44.06,1.00,90.00,1505273
45.00,43.25,44.13,1.00,90.00,1511011
45.00,43.31,44.16,1.00,90.00,1516748
45.00,43.38,44.19,1.00,90.00,1522486
45.25,43.44,44.34,1.00,90.00,1528224
45.25,43.50,44.38,1.00,90.00,1533962
45.25,43.56,44.41,1.00,90.00,1539699
45.50,43.63,44.56,1.00,90.00,1545437
45.50,43.69,44.59,1.00,90.00,1551174
45.50,43.75,44.63,1.00,90.00,1556911
45.50,43.81,44.66,1.00,90.00,1562648
45.50,43.81,44.66,1.00,90.00,1568386
45.75,43.88,44.81,1.00,90.00,1574123
46.00,44.00,45.00,1.00,90.00,1579860
46.00,44.06,45.03,1.00,90.00,1585598
46.00,44.13,45.06,1.00,90.00,1591335
