=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.14 11:22:39 =~=~=~=~=~=~=~=~=~=~=~=
20.70,32591
20.75,24.12,22.44,125737
20.75,24.19,22.47,126477
20.75,24.19,22.47,127216
20.75,24.12,22.44,127955
20.50,24.12,22.31,128695
20.50,24.12,22.31,129434
20.75,24.12,22.44,130173
20.75,24.12,22.44,130913
20.75,24.12,22.44,131652
20.75,24.12,22.44,132391
20.75,24.12,22.44,133131
20.75,24.12,22.44,133870
20.75,24.12,22.44,134609
20.75,24.12,22.44,135349
20.75,24.12,22.44,136088
20.75,24.12,22.44,136827
20.75,24.12,22.44,137567
20.75,24.12,22.44,138306
20.75,24.12,22.44,139045
20.75,24.06,22.41,139785
20.50,24.12,22.31,140524
20.75,24.06,22.41,141263
20.50,24.12,22.31,142003
20.50,24.06,22.28,142742
20.50,24.06,22.28,143481
20.75,24.06,22.41,144221
20.75,24.06,22.41,144960
20.50,24.06,22.28,145699
20.75,24.06,22.41,146439
20.75,24.06,22.41,147178
20.75,24.06,22.41,147917
20.75,24.06,22.41,148657
20.75,24.06,22.41,149396
21.00,24.06,22.53,150135
20.75,24.06,22.41,150875
20.75,24.06,22.41,151614
20.50,24.06,22.28,152353
20.75,24.00,22.37,153093
20.50,24.00,22.25,153832
20.50,24.00,22.25,154571
20.50,24.00,22.25,155311
20.50,24.00,22.25,156050
20.75,24.00,22.37,156789
20.75,24.00,22.37,157529
20.50,24.00,22.25,158268
20.50,24.00,22.25,159007
20.50,24.00,22.25,159747
20.50,24.00,22.25,160486
20.75,23.94,22.34,161225
20.75,24.00,22.37,161965
20.75,24.00,22.37,162704
20.50,24.00,22.25,163443
20.50,23.94,22.22,164183
20.50,23.94,22.22,164922
20.50,23.94,22.22,165661
20.50,23.94,22.22,166401
20.50,23.94,22.22,167140
20.50,23.94,22.22,167879
20.75,23.94,22.34,168619
20.75,23.94,22.34,169359
20.50,23.94,22.22,170098
20.50,23.94,22.22,170838
20.50,23.94,22.22,171577
20.50,23.94,22.22,172316
20.75,23.94,22.34,173056
20.75,23.94,22.34,173795
20.50,23.94,22.22,174534
20.75,23.94,22.34,175273
20.75,23.94,22.34,176013
20.75,23.94,22.34,176752
20.75,23.94,22.34,177491
20.75,23.94,22.34,178231
20.75,23.94,22.34,178970
20.75,23.87,22.31,179709
20.75,23.94,22.34,180449
20.75,23.94,22.34,181189
20.75,23.94,22.34,181928
20.75,23.94,22.34,182668
20.50,23.87,22.19,183407
20.50,23.94,22.22,184146
20.50,23.94,22.22,184886
20.50,23.87,22.19,185625
20.75,23.87,22.31,186364
20.75,23.87,22.31,187104
20.75,23.87,22.31,187843
20.75,23.87,22.31,188582
20.75,23.87,22.31,189322
20.50,23.87,22.19,190061
20.50,23.87,22.19,190800
20.50,23.87,22.19,191540
20.75,23.87,22.31,192279
20.50,23.87,22.19,193018
20.75,23.81,22.28,193759
20.50,23.81,22.16,194498
20.50,23.81,22.16,195237
20.75,23.81,22.28,195977
21.00,23.87,22.44,196716
21.00,23.81,22.41,197455
21.00,23.81,22.41,198195
21.00,23.81,22.41,198934
21.00,23.81,22.41,199673
20.75,23.75,22.25,200413
20.50,23.81,22.16,201152
20.75,23.81,22.28,201891
20.50,23.75,22.12,202631
20.50,23.75,22.12,203370
20.50,23.75,22.12,204109
20.25,23.75,22.00,204849
20.50,23.75,22.12,205588
20.50,23.75,22.12,206328
20.50,23.75,22.12,207068
20.50,23.75,22.12,207807
20.50,23.75,22.12,208546
20.75,23.75,22.25,209286
20.75,23.75,22.25,210025
21.00,23.75,22.37,210764
21.00,23.75,22.37,211504
20.50,23.75,22.12,212243
20.75,23.75,22.25,212982
20.75,23.75,22.25,213722
20.75,23.75,22.25,214461
21.00,23.75,22.37,215200
20.75,23.75,22.25,215940
20.75,23.75,22.25,216679
20.75,23.75,22.25,217418
20.75,23.75,22.25,218159
20.75,23.75,22.25,218898
20.50,23.75,22.12,219637
20.50,23.75,22.12,220377
20.50,23.75,22.12,221116
20.50,23.75,22.12,221855
20.50,23.75,22.12,222595
20.50,23.75,22.12,223334
20.50,23.75,22.12,224073
20.75,23.75,22.25,224813
20.75,23.75,22.25,225552
20.50,23.75,22.12,226291
20.75,23.69,22.22,227031
20.50,23.69,22.09,227770
20.50,23.69,22.09,228509
20.50,23.69,22.09,229249
20.75,23.69,22.22,229988
20.50,23.69,22.09,230728
20.75,23.69,22.22,231468
20.50,23.69,22.09,232207
20.50,23.69,22.09,232946
20.50,23.69,22.09,233686
20.25,23.69,21.97,234425
20.50,23.69,22.09,235164
20.50,23.69,22.09,235904
20.75,23.69,22.22,236643
20.50,23.69,22.09,237382
20.50,23.69,22.09,238121
20.25,23.69,21.97,238861
20.00,23.69,21.84,239600
19.75,23.69,21.72,240339
19.75,23.69,21.72,241079
19.75,23.69,21.72,241818
19.75,23.69,21.72,242557
19.75,23.69,21.72,243298
19.75,23.69,21.72,244037
