tempC1,tempC2,avg,currentTime
62.25,58.69,60.47,1208730
62.50,58.81,60.66,1214466
62.50,58.88,60.69,1220201
62.75,59.00,60.88,1225936
62.75,59.13,60.94,1231673
63.00,59.31,61.16,1237408
63.00,59.38,61.19,1243144
63.00,59.50,61.25,1248879
63.25,59.63,61.44,1254615
63.50,59.75,61.63,1260350
63.50,59.88,61.69,1266085
63.75,60.00,61.88,1271822
63.75,60.13,61.94,1277557
63.75,60.25,62.00,1283293
64.00,60.38,62.19,1289028
64.00,60.50,62.25,1294764
64.00,60.56,62.28,1300499
64.25,60.75,62.50,1306234
64.25,60.81,62.53,1311970
64.50,60.94,62.72,1317705
64.75,61.06,62.91,1323441
64.75,61.13,62.94,1329176
65.00,61.31,63.16,1334912
65.00,61.38,63.19,1340647
65.00,61.50,63.25,1346382
65.25,61.63,63.44,1352118
65.25,61.69,63.47,1357853
65.50,61.88,63.69,1363589
65.50,61.94,63.72,1369324
65.50,62.06,63.78,1375059
65.50,62.19,63.84,1380795
65.75,62.31,64.03,1386530
65.75,62.44,64.09,1392266
65.75,62.50,64.12,1398001
66.00,62.63,64.31,1403737
66.00,62.69,64.34,1409472
66.00,62.81,64.41,1415207
66.25,62.88,64.56,1420943
66.25,63.00,64.62,1426678
66.50,63.13,64.81,1432414
66.75,63.25,65.00,1438149
66.50,63.31,64.91,1443885
66.75,63.44,65.09,1449620
67.00,63.56,65.28,1455355
67.00,63.63,65.31,1461091
67.25,63.69,65.47,1466826
67.25,63.81,65.53,1472561
67.25,63.94,65.59,1478296
67.25,64.00,65.62,1484032
67.50,64.12,65.81,1489767
67.50,64.25,65.87,1495502
67.75,64.31,66.03,1501238
67.75,64.44,66.09,1506973
68.00,64.56,66.28,1512709
68.25,64.62,66.44,1518444
68.00,64.75,66.37,1524178
68.25,64.87,66.56,1529914
68.25,64.94,66.59,1535649
68.50,65.06,66.78,1541385
68.75,65.19,66.97,1547120
68.50,65.25,66.87,1552856
68.75,65.37,67.06,1558590
69.00,65.44,67.22,1564325
69.00,65.56,67.28,1570061
69.00,65.62,67.31,1575796
69.00,65.75,67.37,1581532
69.25,65.81,67.53,1587266
69.25,65.94,67.59,1593001
69.50,66.06,67.78,1598737
69.50,66.12,67.81,1604472
69.50,66.25,67.87,1610208
69.75,66.31,68.03,1615942
69.75,66.37,68.06,1621678
69.75,66.50,68.12,1627413
69.75,66.56,68.16,1633148
69.75,66.69,68.22,1638884
70.00,66.75,68.37,1644618
70.25,66.87,68.56,1650354
70.25,66.94,68.59,1656089
70.25,67.06,68.66,1661825
70.50,67.12,68.81,1667559
70.50,67.19,68.84,1673294
70.50,67.31,68.91,1679030
70.75,67.44,69.09,1684765
70.75,67.50,69.12,1690500
71.00,67.56,69.28,1696235
71.00,67.69,69.34,1701970
71.00,67.75,69.37,1707706
71.00,67.87,69.44,1713440
71.25,67.94,69.59,1719176
71.50,68.00,69.75,1724911
71.25,68.12,69.69,1730646
71.50,68.25,69.87,1736381
71.50,68.31,69.91,1742116
71.75,68.44,70.09,1747852
72.00,68.50,70.25,1753586
72.00,68.56,70.28,1759322
72.00,68.69,70.34,1765057
72.25,68.75,70.50,1770791
72.25,68.87,70.56,1776527
72.25,68.94,70.59,1782262
72.25,69.06,70.66,1787997
72.75,69.12,70.94,1793732
72.50,69.19,70.84,1799468
72.50,69.25,70.87,1805202
72.50,69.37,70.94,1810937
72.75,69.44,71.09,1816673
72.75,69.50,71.12,1822407
73.00,69.62,71.31,1828143
73.00,69.69,71.34,1833878
73.00,69.75,71.37,1839612
73.00,69.87,71.44,1845348
73.00,69.94,71.47,1851082
73.25,70.00,71.62,1856818
73.25,70.06,71.66,1862553
73.25,70.12,71.69,1868288
73.50,70.19,71.84,1874023
73.50,70.31,71.91,1879758
73.50,70.31,71.91,1885493
73.50,70.44,71.97,1891228
73.75,70.50,72.12,1896963
74.00,70.56,72.28,1902698
74.00,70.62,72.31,1908433
74.00,70.69,72.34,1914168
74.00,70.75,72.37,1919903
74.00,70.81,72.41,1925638
74.00,70.94,72.47,1931373
74.25,71.00,72.62,1937108
74.25,71.06,72.66,1942843
74.50,71.12,72.81,1948578
74.50,71.19,72.84,1954313
74.50,71.31,72.91,1960048
74.50,71.37,72.94,1965783
74.50,71.44,72.97,1971518
74.75,71.50,73.12,1977253
74.75,71.62,73.19,1982988
74.75,71.69,73.22,1988723
75.00,71.75,73.37,1994458
75.00,71.81,73.41,2000193
75.25,71.94,73.59,2005927
75.25,71.94,73.59,2011663
75.25,72.00,73.62,2017397
75.50,72.12,73.81,2023133
75.50,72.19,73.84,2028867
75.75,72.25,74.00,2034603
75.75,72.37,74.06,2040337
75.75,72.44,74.09,2046072
76.00,72.50,74.25,2051808
